Accession,pvalue,log2FC,Gene,Label
A0A1W2PNR9,0.225088056,0.091247608,IER3IP1,NO
A0A1W2PNW1,0.00399608,1.766178554,STAT6,NO
A0A1W2PNX8,0.01655407,-0.26841611,UNC45A,NO
A0A1W2PNZ9,0.022040132,0.41093887,JMJD1C,NO
A0A1W2PP11,0.251798358,-0.107138712,,NO
A0A1W2PPI7,0.949400597,0.003177538,TRIM3,NO
A0A1W2PPJ0,0.757901493,0.020097674,GOSR2,NO
A0A1W2PPS1,0.020351028,-0.602143311,HNRNPU,NO
A0A1W2PPZ5,0.000497931,0.934447291,TCEA1,NO
A0A1W2PQ13,0.016038382,0.335884286,,NO
A0A1W2PQA1,0.008419868,-0.811768514,REST,NO
A0A1W2PQV2,0.00263499,-1.118314162,GCSH,NO
A0A1W2PR06,0.00429371,-1.693181582,SLC7A2,NO
A0A1W2PR17,0.119143833,0.188307432,PFKFB3,NO
A0A1W2PR36,0.001611858,0.955669069,GAMT,NO
A0A1W2PRL5,0.7126584,-0.029777634,NECAP1,NO
A0A1W2PS05,0.222920221,0.317610546,PIK3C3,NO
A0A1W2PS43,0.528767376,-0.053861805,SCARB2,NO
A0A1W2PSE7,0.009242085,1.793927838,HLA-A,NO
A0A1X7SBS0,0.002017859,0.445404833,ELP4,NO
A0A1X7SBS4,0.002973395,0.443475295,TEAD3,NO
A0A1X7SBT4,0.002065428,-1.057020712,PIGX,NO
A0A1X7SBW3,0.097508803,-0.247964684,RNF187,NO
A0A1X7SC65,0.01806815,2.135635094,HSPB6,NO
A0A286YFF5,0.477253833,0.046657576,MFSD8,NO
A0A286YFF7,0.008541021,-0.706252851,PPT1,NO
A0A286YFF8,0.961587598,0.004317339,MON2,NO
A0A2C9F2R7,0.001328975,0.746122532,FRYL,NO
A0A2Q3DQE3,0.007685562,0.685402732,CAMK2G,NO
A0A2R8Y422,0.012824289,-0.539745982,RPS27AP5,NO
A0A2R8Y4L2,0.044514341,0.249825398,HNRNPA1P48,NO
A0A2R8Y4M1,0.048489741,0.445980566,CLIC5,NO
A0A2R8Y4Y7,0.063748783,0.138606613,SPG7,NO
A0A2R8Y566,0.069884062,0.413582585,RELCH,NO
A0A2R8Y5P7,0.007833597,-0.981172517,HARS2,NO
A0A2R8Y5U3,0.003431441,0.768997168,VPS33A,NO
A0A2R8Y5V8,0.718527135,0.076862764,FRY,NO
A0A2R8Y5V9,0.015666292,-0.629295192,TPM4,NO
A0A2R8Y600,0.072066316,-0.265382805,,NO
A0A2R8Y653,0.008058922,0.493595975,UCK2,NO
A0A2R8Y6I6,0.007136886,0.389119309,DYRK1A,NO
A0A2R8Y6W5,0.351230886,-0.109510915,MEA1,NO
A0A2R8Y6Y7,0.003623869,0.293865852,SUCLA2,NO
A0A2R8Y793,0.146723248,0.118342396,ACTB,NO
A0A2R8Y7B1,0.00230984,0.726890615,CCDC88A,NO
A0A2R8Y7F4,0.334452096,0.073986661,PRRC2C,NO
A0A2R8Y7G1,0.02235182,0.301804441,AHR,NO
A0A2R8Y7I7,0.009808519,0.338086719,GSS,NO
A0A2R8Y7Q1,0.003105065,-0.762393111,BPTF,NO
A0A2R8Y7R2,0.468457806,-0.779677448,HBB,NO
A0A2R8Y7V2,0.008276196,-0.325669686,NME6,NO
A0A2R8Y811,0.040640033,0.059743142,RPS14,NO
A0A2R8Y849,0.112398255,0.132991971,RPS24,NO
