Accession,pvalue,log2FC,Gene,Label
Q15011,0.003910331,0.413595033,HERPUD1,NO
Q15012,0.024961545,-0.193633287,LAPTM4A,NO
Q15013,0.005972504,-0.382586574,MAD2L1BP,NO
Q15014,0.007036989,-0.742229467,MORF4L2,NO
Q15018,0.000416292,0.456630009,ABRAXAS2,NO
Q15019,0.004865027,0.423327075,SEPTIN2,NO
Q15020,0.095012423,0.239075145,SART3,NO
Q15021,0.01668766,0.36961358,NCAPD2,NO
Q15022,0.757608406,0.016100152,SUZ12,NO
Q15024,0.023414628,0.233937855,EXOSC7,NO
Q15025,0.000558384,0.721944688,TNIP1,NO
Q15029,0.054715574,-0.158990147,EFTUD2,NO
Q15031,0.022174229,-0.460726154,LARS2,NO
Q15032,0.568574794,0.042595341,R3HDM1,NO
Q15035,0.00105204,0.479395628,TRAM2,NO
Q15036,0.056050168,0.1661243,SNX17,NO
Q15040,0.092321039,0.161899667,JOSD1,NO
Q15042,0.001135036,0.608157782,RAB3GAP1,NO
Q15043,0.000967151,1.011577751,SLC39A14,NO
Q15046,0.012405376,-0.529548785,KARS1,NO
Q15047,0.002346402,-0.459210759,SETDB1,NO
Q15048,0.001291821,0.924491503,LRRC14,NO
Q15050,0.032722666,-0.26436796,RRS1,NO
Q15051,0.019798164,0.251740572,IQCB1,NO
Q15054,0.013816009,-0.228897411,POLD3,NO
Q15056,0.129218838,0.131889569,EIF4H,NO
Q15056-2,0.339391926,-0.10940614,EIF4H,NO
Q15057,0.010788122,-1.063517647,ACAP2,NO
Q15058,0.011259849,-0.118236862,KIF14,NO
Q15059,0.00879711,-0.357817799,BRD3,NO
Q15061,0.091476918,-0.085589909,WDR43,NO
Q15067,0.002952761,-0.715865754,ACOX1,NO
Q15072,0.051329308,-0.224905244,ZNF146,NO
Q15075,0.299897914,0.022991847,EEA1,NO
Q15084,0.000347068,-0.559275004,PDIA6,NO
Q15102,0.024640446,0.337041804,PAFAH1B3,NO
Q15118,0.032911659,-0.679722915,PDK1,NO
Q15119,0.012232901,-0.319984188,PDK2,NO
Q15120,0.005648727,-1.737945839,PDK3,NO
Q15121,0.019159498,1.218776575,PEA15,NO
Q15124,0.086794486,0.245025779,PGM5,NO
Q15125,0.006533606,-1.867515017,EBP,NO
Q15126,0.009495206,0.222749604,PMVK,NO
Q15149,0.000319444,0.913291643,PLEC,NO
Q15149-3,0.340135415,0.081171386,PLEC,NO
Q15149-4,0.000223258,1.381316616,PLEC,NO
Q15149-8,0.00628059,-0.376846733,PLEC,NO
Q15170,0.541618034,-0.088300213,TCEAL1,NO
Q15172,0.021206322,-0.884681543,PPP2R5A,NO
Q15181,0.024674824,0.313875808,PPA1,NO
Q15185,0.002287733,0.62770644,PTGES3,NO
Q15208,0.008624543,0.533070452,STK38,NO
Q15223,0.008459262,-0.085832096,NECTIN1,NO
Q15257,0.247075491,-0.308155435,PTPA,NO
Q15269,0.01663442,0.323130543,PWP2,NO
Q15274,0.004351606,0.484261011,QPRT,NO
Q15276,0.002609558,0.489466148,RABEP1,NO
Q15286,0.272096447,0.04065831,RAB35,NO
Q15291,0.003914159,-0.271801262,RBBP5,NO
Q15293,0.001264448,1.271869376,RCN1,NO
Q15311,0.001985368,0.826653467,RALBP1,NO
Q15334,0.006900384,0.265982894,LLGL1,NO
Q15345,0.124437938,-0.226426214,LRRC41,NO
Q15361,0.018696291,-0.539169515,TTF1,NO
Q15363,0.005416074,-1.10671341,TMED2,NO
Q15365,0.455709607,0.041640712,PCBP1,NO
Q15366-2,0.002516812,0.751833558,PCBP2,NO
Q15366-3,0.025404507,0.290800478,PCBP2,NO
Q15369,0.015388371,0.269780602,ELOC,NO
Q15370,0.045891171,0.270651117,ELOB,NO
Q15382,0.005090751,0.334357392,RHEB,NO
Q15386,0.013453013,0.192064543,UBE3C,NO
Q15388,0.230591207,-0.094386015,TOMM20,NO
Q15390,0.010593236,0.357381913,MTFR1,NO
Q15393,0.002134018,-0.407567918,SF3B3,NO
Q15397,0.041043632,0.114279735,PUM3,NO
Q15398-3,0.004352302,0.621315776,DLGAP5,NO
Q15404,0.001859692,0.654740372,RSU1,NO
Q15417,0.002334632,1.704210036,CNN3,NO
Q15418,0.013137762,0.389360639,RPS6KA1,NO
Q15424,0.182753601,-0.092729974,SAFB,NO
Q15427,0.003257683,-0.431649025,SF3B4,NO
Q15428,0.388692969,-0.04786048,SF3A2,NO
Q15434,0.000462013,2.176580569,RBMS2,NO
Q15435,0.949849261,0.003364544,PPP1R7,NO
Q15437,0.137915566,-0.12279553,SEC23B,NO
Q15438,0.012461353,-0.401923344,CYTH1,NO
Q15459,0.071831552,-0.136938532,SF3A1,NO
Q15477,0.046357103,0.205221483,SKIV2L,NO
Q15526,0.019106527,-0.40710046,SURF1,NO
Q15527,0.012047628,0.148468504,SURF2,NO
Q15542,0.022551765,-0.301801205,TAF5,NO
Q15544,0.123047337,-0.195619497,TAF11,NO
Q15545,0.011953753,-0.174647521,TAF7,NO
Q15554,0.007667709,-0.264221274,TERF2,NO
Q15555,0.001609918,1.919142722,MAPRE2,NO
Q15582,0.004704365,0.608097017,TGFBI,NO
Q15596,0.104050278,0.656318845,NCOA2,NO
Q15599,0.00285276,0.665039862,SLC9A3R2,NO
Q15628,0.008804655,-0.645791597,TRADD,NO
Q15629,0.001397247,0.526249307,TRAM1,NO
Q15631,0.004697456,0.80849747,TSN,NO
Q15633,0.020345429,-0.20712882,TARBP2,NO
Q15637-5,0.021917134,-0.242420436,SF1,NO
Q15637-6,0.00809719,0.405776381,SF1,NO
Q15642-2,0.001164209,1.596277337,TRIP10,NO
Q15643,0.06463782,-0.094871789,TRIP11,NO
Q15645,0.002481687,0.560968343,TRIP13,NO
Q15646,0.128914904,-0.074222245,OASL,NO
Q15648,0.521721916,-0.049677139,MED1,NO
Q15649,0.194533856,-0.06804429,ZNHIT3,NO
Q15650,0.008308472,-0.26750285,TRIP4,NO
Q15651-2,0.185226693,-0.203176743,HMGN3,NO
Q15653-2,0.057731237,0.182219492,NFKBIB,NO
Q15654,0.006926707,-0.254234994,TRIP6,NO
Q15691,0.000683708,0.960345777,MAPRE1,NO
Q15696,0.040638086,-0.307853623,ZRSR2,NO
Q15714-2,0.078685764,0.342591085,TSC22D1,NO
Q15717,0.108268136,0.117475405,ELAVL1,NO
Q15723-3,0.146987115,0.240268636,ELF2,NO
Q15738,0.005482786,-0.832826735,NSDHL,NO
Q15742,0.01327793,0.183457214,NAB2,NO
Q15750,0.004813965,0.639723781,TAB1,NO
Q15751,0.024959182,-0.460907628,HERC1,NO
Q15758,0.66547601,-0.019346951,SLC1A5,NO
Q15771,0.989888172,0.000858313,RAB30,NO
Q15773,0.012886512,-0.342259164,MLF2,NO
Q15776,0.318951926,-0.745206717,ZKSCAN8,NO
Q15785,0.001776304,0.879171593,TOMM34,NO
Q15796,0.434138952,-0.087251613,SMAD2,NO
Q15800,0.020835706,-0.548078783,MSMO1,NO
Q15811,0.161719114,0.060632449,ITSN1,NO
Q15813,0.012143969,0.325685438,TBCE,NO
Q15814,0.106297159,-0.151696456,TBCC,NO
Q15819,0.008145148,0.52074501,UBE2V2,NO
Q15833,0.001320985,0.342237194,STXBP2,NO
Q15836,0.001047206,0.391839419,VAMP3,NO
Q15853,0.059241885,-0.298162635,USF2,NO
Q15904,0.001737429,-0.541879936,ATP6AP1,NO
Q15906,0.005011215,-0.388072874,VPS72,NO
Q15907,0.161987252,0.046426467,RAB11B,NO
Q15910,0.201934117,0.07430179,EZH2,NO
Q15911,0.003593928,-0.581489367,ZFHX3,NO
Q15928,0.009176806,-0.568184284,ZNF141,NO
Q15942,0.004005535,1.477337801,ZYX,NO
Q16134,0.077257268,-0.227877925,ETFDH,NO
Q16181,0.002384907,0.388752762,SEPTIN7,NO
Q16186,0.248083489,-0.077883089,ADRM1,NO
Q16204,0.086225172,-0.216974714,CCDC6,NO
Q16222,0.002010693,2.242025228,UAP1,NO
Q16254,0.314608007,-0.029573142,E2F4,NO
Q16342,0.035170155,0.37673853,PDCD2,NO
Q16352,0.001842884,2.208004585,INA,NO
Q16401,0.038824421,0.271763189,PSMD5,NO
Q16512,0.10400561,-0.118236864,PKN1,NO
Q16513,0.001870214,0.81342678,PKN2,NO
Q16514,0.002334632,-0.436029444,TAF12,NO
Q16526,0.010712937,0.501021772,CRY1,NO
Q16527,0.005382662,1.162978149,CSRP2,NO
Q16531,0.002044268,-0.531319968,DDB1,NO
Q16537,0.005684652,-0.290265398,PPP2R5E,NO
Q16539,0.027787309,0.29979786,MAPK14,NO
Q16539-2,0.118174146,0.311082936,MAPK14,NO
Q16540,0.016165921,-0.339732071,MRPL23,NO
Q16543,0.002857217,0.649746454,CDC37,NO
Q16555,0.007104043,0.555502764,DPYSL2,NO
Q16560,0.154257954,-0.116649007,SNRNP35,NO
Q16563,0.007687884,-0.420597589,SYPL1,NO
Q16576,0.001980649,-0.529697915,RBBP7,NO
Q16576-2,0.001135036,-0.577949183,RBBP7,NO
Q16594,0.017994303,-0.271075121,TAF9,NO
Q16595,0.235971746,-0.103300954,FXN,NO
Q16611,0.466004278,0.035267913,BAK1,NO
Q16629,0.006505125,-0.535457894,SRSF7,NO
Q16630,0.008497069,-0.40495378,CPSF6,NO
Q16637,0.001603127,0.606178936,SMN1,NO
Q16643,0.000319444,1.11552507,DBN1,NO
Q16656,0.676268551,0.03442427,NRF1,NO
Q16658,0.004777413,0.846801706,FSCN1,NO
Q16666,0.001328093,2.063357238,IFI16,NO
Q16678,0.004265424,-2.030443693,CYP1B1,NO
Q16698,0.007612179,-1.412104049,DECR1,NO
Q16706,0.013199188,-0.750359555,MAN2A1,NO
Q16718,0.013674658,-0.328633305,NDUFA5,NO
Q16719,0.01118379,-1.337923337,KYNU,NO
Q16720,0.083540407,-0.489882458,ATP2B3,NO
Q16739,0.351969644,-0.040413293,UGCG,NO
Q16740,0.010881618,0.260861517,CLPP,NO
Q16760,0.054560956,0.536143103,DGKD,NO
Q16762,0.005185799,-1.391287693,TST,NO
Q16763,0.002865688,0.447796233,UBE2S,NO
Q16773,0.673261401,0.029580522,KYAT1,NO
Q16775,0.011888785,0.501267625,HAGH,NO
Q16777,0.02970764,-1.492888811,H2AC20,NO
Q16795,0.010895758,-0.465479458,NDUFA9,NO
Q16799,0.005042133,0.719568006,RTN1,NO
Q16822,0.028967379,0.216253517,PCK2,NO
Q16831,0.000864193,1.649727715,UPP1,NO
Q16836,0.011003383,-1.248711768,HADH,NO
Q16850,0.007169036,-1.031368518,CYP51A1,NO
Q16854,0.005199303,0.507122715,DGUOK,NO
Q16854-5,0.0259095,0.759965525,DGUOK,NO
Q16864,0.00026698,-0.410194312,ATP6V1F,NO
Q16880,0.004115719,1.276318858,UGT8,NO
Q16881,0.000739568,0.870028254,TXNRD1,NO
Q16890,0.002227151,-1.434650929,TPD52L1,NO
Q16891-2,0.030272958,-0.376998739,IMMT,NO
Q16891-4,0.009140539,-0.27304186,IMMT,NO
Q17RN3,0.003910331,-0.347627022,FAM98C,NO
Q17RY6,0.006217232,2.742449606,LY6K,NO
Q1ED39,0.005206571,-0.810064595,KNOP1,NO
Q1KMD3,0.009020381,-0.629258169,HNRNPUL2,NO
Q1L5Z9,0.015688174,-1.628865361,LONRF2,NO
Q24JP5,0.741495973,0.026196403,TMEM132A,NO
Q29980,0.019042486,0.252850433,MICB,NO
Q29RF7,0.04142316,-0.143507504,PDS5A,NO
Q2KHR3-2,0.008574042,2.355331905,QSER1,NO
Q2L6G2,0.007029186,1.710270763,HLA-B,NO
Q2M1P5,0.002334632,1.273821461,KIF7,NO
Q2M296,0.018882936,0.136147793,MTHFSD,NO
Q2M389,0.005555778,0.445249594,WASHC4,NO
Q2M3G0,0.002516812,0.500298388,ABCB5,NO
Q2NKX8,0.003180887,0.675950949,ERCC6L,NO
Q2NL68,0.365759741,0.240694439,PROSER3,NO
Q2NL82,0.002460964,0.236210258,TSR1,NO
Q2PPJ7,0.022425538,-0.457630735,RALGAPA2,NO
Q2T9J0,0.001202575,-0.943524442,TYSND1,NO
Q2TAA2,0.013824349,-0.432099747,IAH1,NO
Q2TAL8,0.001382564,0.479545914,QRICH1,NO
Q2TAM9,0.301167457,0.125800145,TUSC1,NO
Q2TAY7,0.0328157,-0.372653093,SMU1,NO
Q2TAZ0-3,0.094284349,0.120342755,ATG2A,NO
Q2TB10,0.001550429,-0.786864194,ZNF800,NO
Q2TBE0,0.010132736,0.300252597,CWF19L2,NO
Q2VPB7,0.093056554,0.137090838,AP5B1,NO
Q30201,0.311911026,-0.11748127,HFE,NO
Q32MN6,0.441819258,-0.094953934,TBP,NO
Q32MZ4-3,0.16177011,0.144310768,LRRFIP1,NO
Q32NB8,0.020208168,-0.156241798,PGS1,NO
Q32NC0,0.381198269,0.083048588,C18orf21,NO
Q32P28,0.001495696,0.706760685,P3H1,NO
Q32P41,0.004721014,-0.037868783,TRMT5,NO
Q32P44,0.006727426,0.32007152,EML3,NO
Q32Q12,0.190928949,0.154863252,NME1-NME2,NO
Q330K2,0.002633542,-0.435998912,NDUFAF6,NO
Q3B726,0.037686462,0.206203607,POLR1F,NO
Q3B7J2,0.005676925,1.129892588,GFOD2,NO
Q3B7T1,0.246693487,-0.146299175,EDRF1,NO
Q3KNV8,0.00088024,-0.789449016,PCGF3,NO
Q3KQV9,0.064847045,0.123221069,UAP1L1,NO
Q3KQZ1,0.072117166,-0.279978117,SLC25A35,NO
Q3KRB8,0.00964996,-0.539120038,ARHGAP11B,NO
Q3L8U1,0.00710254,-0.296125381,CHD9,NO
Q3LXA3,0.018738418,-0.658160019,TKFC,NO
Q3MHD2,0.006409179,0.873960974,LSM12,NO
Q3MIR4,0.004803557,-0.871392221,TMEM30B,NO
Q3MIT2,0.006164243,0.216189732,PUS10,NO
Q3MIX3,0.277064662,-0.165250508,ADCK5,NO
Q3SXM5,0.009878931,-0.925809411,HSDL1,NO
Q3T8J9,0.007077064,-0.639153171,GON4L,NO
Q3T906,0.00887898,-0.121758653,GNPTAB,NO
Q3YEC7,0.039737411,-0.16753858,RABL6,NO
Q3ZAQ7,0.019382041,-0.375553274,VMA21,NO
Q3ZCM7,0.062731758,0.238735889,TUBB8,NO
Q3ZCQ3,0.004809249,-1.479835144,FAM174B,NO
Q3ZCQ8,0.187213886,-0.074336463,TIMM50,NO
Q3ZCW2,0.007104043,0.908376618,LGALSL,NO
Q460N5,0.005560252,-0.504833921,PARP14,NO
Q495W5,0.010294582,-0.399215025,FUT11,NO
Q49A26,0.008832459,-0.462711659,GLYR1,NO
Q49AR2,0.674454987,-0.065183561,C5orf22,NO
Q49B96,0.031141265,-0.461096619,COX19,NO
Q4FZB7,0.182246705,0.243002385,KMT5B,NO
Q4G0F5,0.001346882,0.767424927,VPS26B,NO
Q4G0I0,0.005198087,-0.390000982,CCSMST1,NO
Q4G0J3,0.001305815,0.354625777,LARP7,NO
Q4G0N4,0.004934265,-0.555149702,NADK2,NO
Q4G0P3,0.02995713,0.305868863,HYDIN,NO
Q4G148,0.007859199,-0.755407841,GXYLT1,NO
Q4G176,0.004966785,-0.752468602,ACSF3,NO
Q4J6C6,0.189198696,-0.051169564,PREPL,NO
Q4KMP7,0.001990431,-0.505572398,TBC1D10B,NO
Q4KMQ1,0.014151535,-0.327230698,TPRN,NO
Q4LDG9,0.028282282,0.429352209,DNAL1,NO
Q4LE39,0.002948573,-0.442434875,ARID4B,NO
Q4R9M9,0.026212261,0.25214994,KIF1B,NO
Q4TT34,0.001469566,0.585757634,NME4,NO
Q4U2R6,0.097939414,-0.102411883,MRPL51,NO
Q4V328,0.008574042,0.257587257,GRIPAP1,NO
Q4VC05-2,0.029350583,-0.084796317,BCL7A,NO
Q4VC44,0.043073975,-0.321914641,FLYWCH1,NO
Q4VCS5,0.001750046,1.16134293,AMOT,NO
Q4ZG55,0.002346402,-1.604603895,GREB1,NO
Q4ZIN3,0.541618034,-0.057204549,TMEM259,NO
Q504Q3,0.191554995,-0.267596739,PAN2,NO
Q52LA3,0.906527811,-0.015394363,LIN52,NO
Q52LJ0,0.006306447,0.405081225,FAM98B,NO
Q52LR7,0.236248619,-0.130279646,EPC2,NO
Q52LW3,0.006493877,0.812294689,ARHGAP29,NO
Q53EL6,0.001237701,-0.452762049,PDCD4,NO
Q53EP0,0.00497285,0.848005015,FNDC3B,NO
Q53EU6,0.003319067,0.494448432,GPAT3,NO
Q53EZ4,0.002324913,-0.475194033,CEP55,NO
Q53F19,0.010881618,-0.302842591,NCBP3,NO
Q53FA7,0.0033377,1.655952567,TP53I3,NO
Q53FT3,0.000955212,0.586940287,HIKESHI,NO
Q53GG5-2,0.033898624,0.644636525,PDLIM3,NO
Q53GQ0,0.001568014,0.733425716,HSD17B12,NO
Q53GS9,0.006383678,-0.371728805,USP39,NO
Q53H12,0.321123165,0.068863187,AGK,NO
Q53H82,0.000578952,0.685786621,LACTB2,NO
Q53H96,0.003360148,0.628768786,PYCR3,NO
Q53HL2,0.13180761,-0.075683124,CDCA8,NO
Q53LP3,0.001198904,1.794617434,SOWAHC,NO
Q53S33,0.950574991,-0.008123623,BOLA3,NO
Q53S48,0.652479865,0.026410901,STON1-GTF2A1L,NO
Q53T59,0.049427155,-0.319535784,HS1BP3,NO
Q53TN4,0.065796308,0.851596879,CYBRD1,NO
Q53TQ3,0.006542183,-0.996466646,INO80D,NO
Q53Z42,0.003498751,-0.958384421,HLA-A,NO
Q562E7,0.047068911,0.484721944,WDR81,NO
Q562F6,0.03259083,-0.217861407,SGO2,NO
Q562R1,0.063391775,0.093068356,ACTBL2,NO
Q567V2,0.007075583,-0.426079663,MPV17L2,NO
Q56P03,0.004653689,-0.30260597,EAPP,NO
Q56VL3,0.000502135,0.863995018,OCIAD2,NO
Q587I9,0.005759316,-0.703603006,SFT2D3,NO
Q58EX2,0.000575476,-1.565115586,SDK2,NO
Q58EX7,0.002587331,0.938665726,PLEKHG4,NO
Q58FG1,0.371137977,0.152604055,HSP90AA4P,NO
Q5BJD5,0.045911551,0.313191594,TMEM41B,NO
Q5BJF2,0.002950179,-0.857046577,TMEM97,NO
Q5BJF6,0.059091008,-0.229038018,ODF2,NO
Q5BJH2,0.008749669,-1.249614817,TMEM128,NO
Q5BJH7,0.013751446,-0.630052119,YIF1B,NO
Q5BKT4,0.012715711,-1.220077647,ALG10,NO
Q5BKU9,0.0329212,-0.344064574,OXLD1,NO
Q5BKZ1,0.007146599,0.560355829,ZNF326,NO
Q5C9Z4,0.923828904,-0.003987255,NOM1,NO
Q5EBL4,0.024083675,0.238903633,RILPL1,NO
Q5EBL8,0.017408971,0.412666202,PDZD11,NO
Q5F1R6,0.069510057,-0.177901958,DNAJC21,NO
Q5FBB7,0.012441379,-0.46433889,SGO1,NO
Q5FWE3,0.783684253,-0.037559586,PRRT3,NO
Q5FWF4,0.053141199,0.27794216,ZRANB3,NO
Q5GLZ8,0.011358908,0.349629395,HERC4,NO
Q5H8A4,0.004469063,-0.561186255,PIGG,NO
Q5H9F3-3,0.012421368,-0.454436865,BCORL1,NO
Q5HYI7,0.538701395,0.026335981,MTX3,NO
Q5HYI8,0.011358908,-0.631683744,RABL3,NO
Q5HYJ3,0.003103024,0.461671154,FAM76B,NO
Q5HYK3,0.00612814,-1.033275917,COQ5,NO
Q5HYK7,0.070838629,0.251157607,SH3D19,NO
Q5J8M3,0.001703893,-0.740388922,EMC4,NO
Q5JPE7,0.054746113,0.133455633,NOMO2,NO
Q5JPH6,0.302766458,0.05287716,EARS2,NO
Q5JPI3,0.007458485,0.443124449,C3orf38,NO
Q5JPI9,0.055117949,0.165995702,EEF1AKMT2,NO
Q5JRA6,0.024171083,-0.148510048,MIA3,NO
Q5JRS2,0.062816637,-0.242505905,UBA1,NO
Q5JRX3,0.005304109,-0.63497044,PITRM1,NO
Q5JS37,0.063284957,-0.244418562,NHLRC3,NO
Q5JS54,0.011958323,0.587078477,PSMG4,NO
Q5JSH3,0.003103024,0.401869644,WDR44,NO
Q5JSL0,0.001557083,1.001771082,HMGN5,NO
Q5JSZ5,0.00056948,0.351452951,PRRC2B,NO
Q5JTD0,0.002456028,0.516733724,TJAP1,NO
Q5JTH9,0.007052382,-0.353867714,RRP12,NO
Q5JTJ3,0.006762666,-0.338833258,COA6,NO
Q5JTV8,0.007906214,-0.541887857,TOR1AIP1,NO
Q5JTV8-3,0.001645632,-0.917270885,TOR1AIP1,NO
Q5JTZ9,0.087589913,-0.14942345,AARS2,NO
Q5JU69,0.093440961,0.269207895,TOR2A,NO
Q5JUW8,0.008449671,-0.571349923,DLG3,NO
Q5JVF3,0.015813136,-0.115568335,PCID2,NO
Q5JVZ5,0.004296492,1.012731768,ELMO2,NO
Q5JYR4,0.322608215,0.14812184,RPN2,NO
Q5KSL6,0.002971072,0.934523563,DGKK,NO
Q5M7Z0,0.014283883,-0.841309169,RNFT1,NO
Q5MIZ7,0.01885026,0.242314175,PPP4R3B,NO
Q5MNZ6,0.098189335,-0.208288558,WDR45B,NO
Q5NDL2,0.287061644,-0.10906774,EOGT,NO
Q5PSV4,0.018473794,-0.348815287,BRMS1L,NO
Q5QJ74,0.008685134,-0.284338929,TBCEL,NO
Q5QJE6,0.357988521,0.059984351,DNTTIP2,NO
Q5QNW6,0.009231606,-1.64460266,H2BC18,NO
Q5QNY5,0.088722443,-0.116721467,PEX19,NO
Q5QPI9,0.025404507,-0.461287297,ENTPD6,NO
Q5R3B4,0.022925218,-0.599110285,MPC2,NO
Q5RI15,0.004373442,-0.42487525,COX20,NO
Q5RIP0,0.013057392,-0.345925921,HLA-C,NO
Q5RKV6,0.006844484,0.128648751,EXOSC6,NO
Q5SNT2,0.010893433,-0.448009885,TMEM201,NO
Q5SQL3,0.103604188,-0.239232692,HIPK1,NO
Q5SRE5,0.270951521,0.035311459,NUP188,NO
Q5SRI9,0.011293427,-0.711841413,MANEA,NO
Q5SSJ5,0.011319358,-0.622926866,HP1BP3,NO
Q5STZ8,0.006727426,0.789879004,ABCF1,NO
Q5SVL2,0.05137503,-0.439320514,CASP7,NO
Q5SVQ8,0.045054523,-0.265302111,ZBTB41,NO
Q5SVS4,0.008371968,-0.64667884,SLC25A30,NO
Q5SVZ6,0.001776304,0.967388032,ZMYM1,NO
Q5SW79,0.002985136,1.639769729,CEP170,NO
Q5SW79-2,0.001426345,1.081590975,CEP170,NO
Q5SW96,0.222873137,-0.075599563,LDLRAP1,NO
Q5SWA1,0.014095985,-0.300127933,PPP1R15B,NO
Q5SWX8,0.002575649,-0.431337757,ODR4,NO
Q5SXM2,0.002351457,0.451222873,SNAPC4,NO
Q5SXM8,0.083259344,-0.103782419,DNLZ,NO
Q5SY16,0.006308339,-0.423360007,NOL9,NO
Q5SYE7,0.479766514,-0.122062377,NHSL1,NO
Q5SYZ4,0.00134004,-0.452957435,CRABP2,NO
Q5SZK8,0.001629531,-1.030428956,FREM2,NO
Q5T011,0.594087426,0.087515311,SZT2,NO
Q5T013,0.000944083,0.80752955,HYI,NO
Q5T0A6,0.003379821,-1.127487837,DHDDS,NO
Q5T0B9,0.063893115,-0.308491809,ZNF362,NO
Q5T0D5,0.002334632,0.292746817,WRAP73,NO
Q5T0D9,0.00268252,0.536871414,TPRG1L,NO
Q5T0F9,0.006404857,0.105990109,CC2D1B,NO
Q5T0N5-4,0.033833789,0.341749586,FNBP1L,NO
Q5T0W9,0.00406201,-1.177953308,FAM83B,NO
Q5T123,0.024750454,1.084994597,SH3BGRL3,NO
Q5T160,0.011080318,0.206376319,RARS2,NO
Q5T1C6,0.201222153,-0.131380876,THEM4,NO
Q5T1M5,0.586160184,-0.045557383,FKBP15,NO
Q5T1V6,0.00708188,-0.497104013,DDX59,NO
Q5T1Z8,0.004317642,0.342888407,PUM1,NO
Q5T200,0.022419165,-0.238352225,ZC3H13,NO
Q5T280,0.002128524,-1.117200062,SPOUT1,NO
Q5T2T1,0.003970344,-0.855946083,MPP7,NO
Q5T2W1,0.000689215,-1.679757886,PDZK1,NO
Q5T3F8,0.008267243,-1.029414073,TMEM63B,NO
Q5T3I0,0.007897324,-0.839031937,GPATCH4,NO
Q5T3J3,0.005183604,0.355500261,LRIF1,NO
Q5T3U5,0.017520266,-0.449748915,ABCC10,NO
Q5T440,0.007264692,0.387230935,IBA57,NO
Q5T447,0.124902741,-0.122630265,HECTD3,NO
Q5T4F4,0.00834947,0.640564111,ZFYVE27,NO
Q5T4K2,0.228139287,-0.141485872,SLC39A1,NO
Q5T4S7,0.000614475,0.792789879,UBR4,NO
Q5T4U5,0.369890846,0.065627399,ACADM,NO
Q5T593,0.196459284,-0.255145422,FAM219A,NO
Q5T5C0,0.045484099,0.245350982,STXBP5,NO
Q5T5C7,0.001543601,0.785969065,SARS1,NO
Q5T5P2,0.052568429,-0.290490545,KIAA1217,NO
Q5T5X7,0.013036631,-0.298189222,BEND3,NO
Q5T5Y3,0.002864421,0.320015301,CAMSAP1,NO
Q5T653,0.020835706,-0.328891065,MRPL2,NO
Q5T6F0,0.003953104,-0.517028016,DCAF12,NO
Q5T6F2,0.003994751,1.565092718,UBAP2,NO
Q5T6V5,0.00128733,0.807431136,C9orf64,NO
Q5T7V8,0.059734353,0.138807244,GORAB,NO
Q5T8I3,0.001519033,-1.010066666,FAM102B,NO
Q5T8I9,0.202606132,0.207465086,HENMT1,NO
Q5T8P6,0.004252463,0.65477339,RBM26,NO
Q5T8P6-2,0.012779905,1.056114031,RBM26,NO
Q5T9A4,0.00083961,0.873668267,ATAD3B,NO
Q5T9C2,0.205682839,0.236822033,FAM102A,NO
Q5TA45,0.024893507,-0.264038636,INTS11,NO
Q5TAQ9,0.308549308,-0.097559539,DCAF8,NO
Q5TBB1,0.001499159,0.667437107,RNASEH2B,NO
Q5TBQ0,0.46184933,-0.083121222,LSM14B,NO
Q5TC82,0.087777127,0.260022114,RC3H1,NO
Q5TC84,0.000534694,2.068456405,OGFRL1,NO
Q5TCQ9,0.464561594,-0.035164073,MAGI3,NO
Q5TCU3,0.000151382,2.210848121,TPM2,NO
Q5TD07,0.094191327,-0.312165947,NQO2,NO
Q5TDH0,0.157468677,-0.138937911,DDI2,NO
Q5TEC6,0.003507939,-1.229659073,H3-2,NO
Q5TEU4,0.006082371,0.363556228,NDUFAF5,NO
Q5TFE4,0.07925688,-0.353104206,NT5DC1,NO
Q5TGY3,0.002346402,0.220896377,AHDC1,NO
Q5TH30,0.002046683,0.551801486,NDRG3,NO
Q5TH69,0.014545962,-0.980623763,ARFGEF3,NO
Q5THJ4,0.029891533,-0.141162193,VPS13D,NO
Q5THK1,0.008519901,-0.554217365,PRR14L,NO
Q5THR1,0.000686275,0.365946662,DHX35,NO
Q5TIH2,0.007727695,-0.78056212,SFT2D2,NO
Q5TKA1,0.001005842,-0.581029313,LIN9,NO
Q5TZA2,0.010547242,-0.437420686,CROCC,NO
Q5U5X0,0.04139494,-0.275652937,LYRM7,NO
Q5UIP0,0.008105883,-0.487827769,RIF1,NO
Q5VIR6,0.426508707,0.033947252,VPS53,NO
Q5VSG8,0.017964269,-0.979512218,MANEAL,NO
Q5VSL9,0.003003666,0.224889534,STRIP1,NO
Q5VST6,0.002359788,0.590205345,ABHD17B,NO
Q5VT06,0.304100994,-0.060564472,CEP350,NO
Q5VT25,0.001666046,0.840202119,CDC42BPA,NO
Q5VT52,0.001701772,-0.582110851,RPRD2,NO
Q5VT52-3,0.00250762,-0.746152257,RPRD2,NO
Q5VT66,0.006065518,-0.677760535,MTARC1,NO
Q5VT79,0.523525063,0.05506141,ANXA8L1,NO
Q5VTB9,0.002515969,-0.212332901,RNF220,NO
Q5VTI5,0.006370893,-0.476224853,PLEKHA6,NO
Q5VTL8,0.167476173,-0.120953897,PRPF38B,NO
Q5VTR2,0.000578046,-0.502628979,RNF20,NO
