Entry,Entry_name,Gene_name,Status,Accession,MCF7_1,MCF7_2,MCF7_3,Doxorubicin_1,Doxorubicin_2,Doxorubicin_3,P-value,P.adjust,log2FC
P17813,EGLN_HUMAN,ENG END,reviewed,P17813,15.96902305,14.52758788,15.42413636,29.87706999,29.65932716,28.1159692,6.26E-05,0.000949663,0.93264692
Q14191,WRN_HUMAN,WRN RECQ3 RECQL2,reviewed,Q14191,6.624939426,6.222422166,6.515779008,8.517529504,8.148066082,8.180121245,0.00041119,0.002334632,0.359684197
O15037,KHNYN_HUMAN,KHNYN KIAA0323,reviewed,O15037,0.291903461,0.423258911,0.294514333,0.631521758,0.369672289,0.272860194,0.508084445,0.539087366,0.335533279
Q96IK1,BOD1_HUMAN,BOD1 FAM44B,reviewed,Q96IK1,7.564107085,8.127087266,8.271645413,9.633111087,9.72146467,9.544422217,0.013090735,0.02145818,0.270220583
P23743,DGKA_HUMAN,DGKA DAGK DAGK1,reviewed,P23743,15.47088345,15.50830974,15.32596492,36.95844849,38.52229668,36.64285027,0.000634285,0.002973395,1.275845098
Q8IV48,ERI1_HUMAN,ERI1 3'EXO THEX1,reviewed,Q8IV48,5.850760681,6.181128613,6.24650876,8.575231999,9.220421236,8.512669607,0.001687445,0.005302209,0.525379643
Q9BRT3,MIEN1_HUMAN,MIEN1 C17orf37 RDX12 XTP4,reviewed,Q9BRT3,30.32623134,32.11347947,31.66169326,25.27048742,26.78138256,24.27034583,0.003779724,0.008705602,-0.302113193
Q8NBZ0,IN80E_HUMAN,INO80E CCDC95,reviewed,Q8NBZ0,14.22712088,12.36225723,14.20120065,11.04361654,10.61356639,11.1275798,0.042232617,0.05704824,-0.315210523
Q9NPR9,GP108_HUMAN,GPR108 LUSTR2,reviewed,Q9NPR9,8.185988372,7.262503515,7.985545775,4.221899268,3.959465183,4.163960258,0.003410369,0.008185519,-0.924640767
Q9Y5J6,T10B_HUMAN,TIMM10B FXC1 TIM9B TIMM9B,reviewed,Q9Y5J6,12.24725392,12.71325242,11.80301251,13.88065591,13.25626499,14.00966561,0.01454664,0.023365616,0.162497888
O95684,CEP43_HUMAN,CEP43 FGFR1OP FOP,reviewed,O95684,5.352621079,6.323075199,5.191866958,6.924299484,7.228468073,6.989200188,0.048514285,0.064301534,0.325858088
Q86U06,RBM23_HUMAN,RBM23 RNPC4 PP239,reviewed,Q86U06,5.485881355,5.680444291,5.635040907,1.577201549,1.402310586,1.284716749,7.23E-06,0.000399063,-1.978221798
Q9H3H1,MOD5_HUMAN,TRIT1 IPT MOD5,reviewed,Q9H3H1,7.13259762,6.320494352,6.630779843,5.324658075,5.737558344,5.710168027,0.024415746,0.035678182,-0.259949618
Q9NV56,MRGBP_HUMAN,MRGBP C20orf20,reviewed,Q9NV56,16.79714048,16.38321688,16.77609739,14.25892783,14.77161586,13.79080899,0.005607502,0.011358908,-0.222340728
Q9UM00,TMCO1_HUMAN,TMCO1 TMCC4 PNAS-10 PNAS-136 UNQ151/PRO177,reviewed,Q9UM00,40.93946045,36.21960708,40.39895181,30.73940174,30.5880906,34.24963898,0.020230436,0.030470902,-0.298635585
P25208,NFYB_HUMAN,NFYB HAP3,reviewed,P25208,11.36837067,11.77640495,12.0021603,10.59481935,10.95879754,9.896866634,0.037482355,0.051547377,-0.160316725
G3V4A5,G3V4A5_HUMAN,MED6,unreviewed,G3V4A5,18.03773019,17.53427465,18.65818423,20.37539237,19.86453906,20.5924178,0.007330118,0.01366468,0.165742519
Q9Y3E7,CHMP3_HUMAN,CHMP3 CGI149 NEDF VPS24 CGI-149,reviewed,Q9Y3E7,40.56506253,41.46904992,42.92055548,48.56306152,48.65620564,52.04239749,0.006944727,0.013137762,0.256438884
Q96ND0,F210A_HUMAN,FAM210A C18orf19,reviewed,Q96ND0,40.60630976,36.09830727,38.24759473,61.78975581,59.13534574,63.00512426,0.000205947,0.001621441,0.678124357
Q96D05,F241B_HUMAN,FAM241B C10orf35,reviewed,Q96D05,8.890364115,7.977398139,8.482012794,11.92838814,11.37124183,11.42033605,0.001133329,0.004171316,0.453792591
Q8IZ40,RCOR2_HUMAN,RCOR2,reviewed,Q8IZ40,2.176584505,2.041449993,1.957819091,1.926622217,1.998063449,2.020870815,0.357724474,0.389190979,-0.054826704
Q9HAD4,WDR41_HUMAN,WDR41 MSTP048,reviewed,Q9HAD4,7.776688953,8.044500162,7.996765369,10.55635102,10.9129704,10.10151178,0.004139045,0.009231606,0.406542818
A6ND36,FA83G_HUMAN,FAM83G PAWS1,reviewed,A6ND36,15.30589454,15.3741057,15.41291677,20.16702225,20.99494193,21.64975105,0.005668987,0.011442737,0.446488594
Q96AT1,K1143_HUMAN,KIAA1143,reviewed,Q96AT1,21.61989332,25.46521755,24.29322513,21.48776826,23.79650796,22.36885135,0.41203808,0.444293007,-0.077329638
Q8TB03,CX038_HUMAN,CXorf38,reviewed,Q8TB03,12.25994538,14.06303541,12.73143389,9.373449857,9.712299241,8.472877495,0.006169885,0.012128632,-0.502981647
Q6PL24,TMED8_HUMAN,TMED8 FAM15B L10,reviewed,Q6PL24,15.83576278,16.84776935,16.44511938,11.69116677,12.02198726,11.9859525,0.001829105,0.00556263,-0.460676673
Q7Z388,D19L4_HUMAN,DPY19L4,reviewed,Q7Z388,39.42600446,35.81699495,40.20260892,23.44644742,23.59486852,23.64788351,0.008005994,0.014557206,-0.707651584
Q9HCI7,MSL2_HUMAN,MSL2 KIAA1585 MSL2L1 RNF184,reviewed,Q9HCI7,9.490035357,9.048449653,10.36409963,7.24166321,7.210137216,6.940881195,0.018259505,0.027973619,-0.434081174
Q7L266,ASGL1_HUMAN,ASRGL1 ALP CRASH,reviewed,Q7L266,19.99855996,19.14988489,19.12379736,35.68578789,40.04375783,37.78545234,0.003230248,0.007924381,0.962002196
O75781,PALM_HUMAN,PALM KIAA0270,reviewed,O75781,12.93576535,12.03448965,12.03301418,23.0136787,22.9380128,23.10216313,0.000608156,0.002921975,0.900069213
Q9BU02,THTPA_HUMAN,THTPA,reviewed,Q9BU02,4.400761966,4.766824446,4.336372943,4.888683663,5.123474623,5.019490659,0.043612033,0.058615479,0.154620812
Q96BZ8,LENG1_HUMAN,LENG1,reviewed,Q96BZ8,6.069688277,6.354045364,6.577486773,4.52002883,4.909614621,4.217963838,0.002741447,0.007136613,-0.477444044
Q05481,ZNF91_HUMAN,ZNF91,reviewed,Q05481,10.23883119,10.01368644,10.73154132,7.953327324,7.815055508,8.106221609,0.003385146,0.008145148,-0.376049321
Q8WW01,SEN15_HUMAN,TSEN15 C1orf19 SEN15,reviewed,Q8WW01,2.623958288,3.1176632,3.004046198,4.234722045,4.283310329,3.535813352,0.024965292,0.036371565,0.46285307
M0R0N4,M0R0N4_HUMAN,AP2S1,unreviewed,M0R0N4,14.51267861,14.99730203,14.57705704,15.42900621,16.30529759,15.24606336,0.080319359,0.100092661,0.091703447
